path,stage,position,channel,response,rng_before,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
/enter,discovery,,,"{'accepted': True, 'virtual_time_s': 0}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,
/measure,discovery,"[0.0, 0.0]",1.0,"{'accepted': True, 'virtual_time_s': 5.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,0.0,5.0,0.0,5.0,1.0
/measure,discovery,"[0.0, 0.0]",2.0,"{'accepted': True, 'virtual_time_s': 11.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",3.0,"{'accepted': True, 'virtual_time_s': 17.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",4.0,"{'accepted': True, 'virtual_time_s': 23.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",5.0,"{'accepted': True, 'virtual_time_s': 29.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",6.0,"{'accepted': True, 'virtual_time_s': 35.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",7.0,"{'accepted': True, 'virtual_time_s': 41.0, 'measure_result': 'direction', 'svd_deg': 222.04}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",8.0,"{'accepted': True, 'virtual_time_s': 47.0, 'measure_result': 'direction', 'svd_deg': 160.36}",3c0b48c4048dffaf12e27834bcb98222afceb5d63316c0ca320c44da48eb5123,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",9.0,"{'accepted': True, 'virtual_time_s': 53.0, 'measure_result': 'direction', 'svd_deg': 226.99}",ac2b061302c6222bf73c06dc263b930f92f054a6dea4d3ae300c76814b885523,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",10.0,"{'accepted': True, 'virtual_time_s': 59.0, 'measure_result': 'no_signal'}",966896c14b1025cebc8caf083de5b9b05aeedcaca5b6b746d9f50e2bc7935e47,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",11.0,"{'accepted': True, 'virtual_time_s': 65.0, 'measure_result': 'no_signal'}",966896c14b1025cebc8caf083de5b9b05aeedcaca5b6b746d9f50e2bc7935e47,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",12.0,"{'accepted': True, 'virtual_time_s': 71.0, 'measure_result': 'direction', 'svd_deg': 44.46}",966896c14b1025cebc8caf083de5b9b05aeedcaca5b6b746d9f50e2bc7935e47,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",13.0,"{'accepted': True, 'virtual_time_s': 77.0, 'measure_result': 'no_signal'}",c205adad21e63a46f0ca1a72203fb2f27d8a02fad0e209440b29bde031c8e5ec,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",14.0,"{'accepted': True, 'virtual_time_s': 83.0, 'measure_result': 'direction', 'svd_deg': 143.4}",c205adad21e63a46f0ca1a72203fb2f27d8a02fad0e209440b29bde031c8e5ec,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",15.0,"{'accepted': True, 'virtual_time_s': 89.0, 'measure_result': 'no_signal'}",762e0652ee36d752dc392295fd6fbfbb6a1d7a8a49edb6426fdfae7e3e00b4e3,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",16.0,"{'accepted': True, 'virtual_time_s': 95.0, 'measure_result': 'no_signal'}",762e0652ee36d752dc392295fd6fbfbb6a1d7a8a49edb6426fdfae7e3e00b4e3,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",17.0,"{'accepted': True, 'virtual_time_s': 101.0, 'measure_result': 'direction', 'svd_deg': 121.96}",762e0652ee36d752dc392295fd6fbfbb6a1d7a8a49edb6426fdfae7e3e00b4e3,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",18.0,"{'accepted': True, 'virtual_time_s': 107.0, 'measure_result': 'no_signal'}",afb1ac7067de9bfd307a76f143bccc75ef3d2a237a2ae1e202bc54de59ce5e14,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",19.0,"{'accepted': True, 'virtual_time_s': 113.0, 'measure_result': 'no_signal'}",afb1ac7067de9bfd307a76f143bccc75ef3d2a237a2ae1e202bc54de59ce5e14,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",20.0,"{'accepted': True, 'virtual_time_s': 119.0, 'measure_result': 'direction', 'svd_deg': 184.03}",afb1ac7067de9bfd307a76f143bccc75ef3d2a237a2ae1e202bc54de59ce5e14,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",20.0,"{'accepted': True, 'virtual_time_s': 318.0, 'measure_result': 'no_signal'}",a4a8a117f8f4f996851305a1b84d0e449c1928485be4b726ad9a241c094a6ad2,969.9999999999999,194.0,0.0,5.0,0.0,199.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",1.0,"{'accepted': True, 'virtual_time_s': 324.0, 'measure_result': 'no_signal'}",a4a8a117f8f4f996851305a1b84d0e449c1928485be4b726ad9a241c094a6ad2,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",2.0,"{'accepted': True, 'virtual_time_s': 330.0, 'measure_result': 'no_signal'}",a4a8a117f8f4f996851305a1b84d0e449c1928485be4b726ad9a241c094a6ad2,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",3.0,"{'accepted': True, 'virtual_time_s': 336.0, 'measure_result': 'no_signal'}",a4a8a117f8f4f996851305a1b84d0e449c1928485be4b726ad9a241c094a6ad2,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",4.0,"{'accepted': True, 'virtual_time_s': 342.0, 'measure_result': 'no_signal'}",a4a8a117f8f4f996851305a1b84d0e449c1928485be4b726ad9a241c094a6ad2,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",5.0,"{'accepted': True, 'virtual_time_s': 348.0, 'measure_result': 'no_signal'}",a4a8a117f8f4f996851305a1b84d0e449c1928485be4b726ad9a241c094a6ad2,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",6.0,"{'accepted': True, 'virtual_time_s': 354.0, 'measure_result': 'no_signal'}",a4a8a117f8f4f996851305a1b84d0e449c1928485be4b726ad9a241c094a6ad2,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",7.0,"{'accepted': True, 'virtual_time_s': 360.0, 'measure_result': 'no_signal'}",a4a8a117f8f4f996851305a1b84d0e449c1928485be4b726ad9a241c094a6ad2,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",8.0,"{'accepted': True, 'virtual_time_s': 366.0, 'measure_result': 'direction', 'svd_deg': 219.83}",a4a8a117f8f4f996851305a1b84d0e449c1928485be4b726ad9a241c094a6ad2,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",9.0,"{'accepted': True, 'virtual_time_s': 372.0, 'measure_result': 'no_signal'}",d695f27bdc226d9b8a1ce18b7543eb2fad8ecf08a747525b07b34191f014eb89,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[485.0, 840.0446416709054]",10.0,"{'accepted': True, 'virtual_time_s': 378.0, 'measure_result': 'no_signal'}",d695f27bdc226d9b8a1ce18b7543eb2fad8ecf08a747525b07b34191f014eb89,0.0,0.0,1.0,5.0,0.0,6.0,1.0
