cohort,seed,seed_hex,source_seed,derivation_index,contrast,reference,candidate,valid_pair,reference_status,candidate_status,mean_time_per_source_delta,virtual_time_s_delta,last_source_first_seen_s_delta,last_source_first_seen_per_source_s_delta,detect_count_delta,switch_count_delta,discovery_measures_delta,discovery_travel_s_delta,discovery_measure_s_delta,discovery_switch_s_delta,final_discovery_measure_s_delta,post_last_seen_discovery_s_delta,post_all_cleared_discovery_s_delta,distance_delta,stage_discovery_s_delta,stage_active_localization_s_delta,stage_diagnostic_s_delta,stage_optical_fallback_s_delta,stage_certified_clear_s_delta,comparison,last_discovery_comparison
development32,0,096a0e02e7a08160d64037ee0cbda84329468763c1711799d94fee50e9e6f5f3,,0,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-74.31371546666674,-1114.7057320000004,-1632.7734899999996,-108.85156599999993,23,30,20,-634.1019340000012,100.0,28.0,-1114.7057320000004,468.44499799999903,-374.8983210000006,-6298.528654537324,-506.1019340000021,180.2370489999994,-329.69684400000006,0.0,-459.1440029999991,win,win
development32,0,096a0e02e7a08160d64037ee0cbda84329468763c1711799d94fee50e9e6f5f3,,0,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,26.049099800000022,390.7364969999999,-412.96597199999997,-27.531064799999967,0,-5,-1,294.84548200000245,-5.0,-3.0,390.7364969999999,695.5373700000009,1432.2573069999999,1978.6824663637963,286.84548200000245,-422.53216799999973,211.80078200000025,0.0,314.62240099999724,loss,win
development32,1,83c85df300bed7c2351ef33c0647b79e029ef7831340f4eaa16b212b666990d0,,1,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-91.31166557142853,-1278.3633179999997,-5214.793387,-372.48524192857144,-44,-43,-39,-617.1210589999991,-195.0,-38.0,-1278.3633179999997,3361.978551,-2899.4373129999994,-5076.816595844743,-850.1210589999991,-496.8824500000011,-201.43051400000058,0.0,270.0707050000012,win,win
development32,1,83c85df300bed7c2351ef33c0647b79e029ef7831340f4eaa16b212b666990d0,,1,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,23.43348957142848,328.0688539999992,-144.21471299999985,-10.301050928571414,-32,-27,-36,484.1773009999979,-180.0,-32.0,328.0688539999992,346.90167199999814,3114.073968999998,2575.34429432061,272.1773009999979,562.5148890000015,0.0,0.0,-506.62333600000034,loss,win
development32,2,436777838609d324d8b96d9db585ff8187516de289e30bd6946736cafc2a5f3d,,2,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-68.12005124999996,-817.4406149999995,-1183.56412,-98.63034333333331,-20,-16,-18,-816.1996089999984,-90.0,-16.0,-817.4406149999995,668.7513439999993,96.85927700000047,-3507.2030523776702,-922.1996089999993,126.46486399999844,-85.603384,0.0,63.897514000001706,win,win
development32,2,436777838609d324d8b96d9db585ff8187516de289e30bd6946736cafc2a5f3d,,2,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-18.106048416666795,-217.27258100000108,1410.4998719999994,117.54165599999993,-58,-58,-58,266.4301879999957,-290.0,-58.0,-217.27258100000108,-1422.056990000001,66.09310299999834,653.6370765407701,-81.56981200000155,-2.0706709999985833,0.0,0.0,-133.63209799999936,win,loss
development32,3,f247b7663c8cf764397817ce6f19a6a74dae2cd683ebf0332b9b3f61f48054d3,,3,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-113.3792182307692,-1473.9298369999997,-1018.1908620000013,-78.32237400000008,26,27,28,-1503.4137900000032,140.0,28.0,-1473.9298369999997,-472.3684860000012,146.62141299999894,-8154.64917194545,-1335.4137900000023,-156.75844099999836,0.0,0.0,18.24239400000215,win,win
development32,3,f247b7663c8cf764397817ce6f19a6a74dae2cd683ebf0332b9b3f61f48054d3,,3,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,24.47208353846156,318.13708600000064,-1675.8914319999994,-128.91472553846154,0,0,0,192.54218100000253,0.0,0.0,318.13708600000064,1783.3896980000018,-963.5753169999989,1590.685434041574,192.54218100000253,71.1984939999993,0.0,0.0,54.39641099999881,loss,win
development32,4,7dd24a0c10a8fa93b2c1cece42bff0bad1a14512f4e52e82d4615199208b6b01,,4,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-147.59899821428564,-2066.3859749999992,-4281.703055999999,-305.83593257142854,-148,-141,-142,-943.8948889999983,-710.0,-140.0,-2066.3859749999992,2026.0297690000007,-690.502696999999,-5926.929884491408,-1793.8948889999983,48.51096499999994,-369.25378099999944,0.0,48.25172999999904,win,win
development32,4,7dd24a0c10a8fa93b2c1cece42bff0bad1a14512f4e52e82d4615199208b6b01,,4,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,21.885266214285593,306.39372699999876,0.0,0.0,16,18,19,497.9754729999995,95.0,19.0,306.39372699999876,611.9754729999986,-1731.9216530000012,1041.9686494952184,611.9754729999995,-251.48644700000045,0.0,0.0,-54.09529900000007,loss,tie
development32,5,0440312229d0058c3e09ec124cde3f9a2857ebf0c7dbf6821987a8b4bebb3bae,,5,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-118.76044335714278,-1662.6462069999998,-5351.185261,-382.2275186428571,-101,-88,-91,-840.0241839999971,-455.0,-88.0,-1662.6462069999998,3647.0742090000012,3897.3895310000007,-5348.231060908351,-1383.024183999998,-120.52408599999944,-106.21020700000054,0.0,-52.88773000000208,win,win
development32,5,0440312229d0058c3e09ec124cde3f9a2857ebf0c7dbf6821987a8b4bebb3bae,,5,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,6,d2e50a2121344edddd5c02829924cae15fd42832a10054847b6aa3fa68984a50,,6,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-45.88007500000003,-550.5609000000004,-734.4390979999998,-61.20325816666673,-68,-64,-66,-390.01531200000136,-330.0,-65.0,-550.5609000000004,370.36026899999797,1203.7338659999987,-732.8044974037111,-785.0153120000014,177.23540299999877,112.36718099999962,0.0,-55.14817199999845,win,win
development32,6,d2e50a2121344edddd5c02829924cae15fd42832a10054847b6aa3fa68984a50,,6,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,7,968f8303aa6479730b9c9e6692a3ee23484ec91c3d0d108adfa0cdf5da8b202b,,7,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-118.04473686666665,-1770.671053,-3282.004642,-218.80030946666665,-45,-43,-43,-928.8429319999996,-215.0,-41.0,-1770.671053,1528.5916939999997,1631.2789899999998,-7513.355262308898,-1184.8429319999996,-645.947204000001,0.0,0.0,60.1190830000005,win,win
development32,7,968f8303aa6479730b9c9e6692a3ee23484ec91c3d0d108adfa0cdf5da8b202b,,7,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,20.07784793333326,301.1677189999991,-256.98755800000026,-17.132503866666696,-2,-3,-4,284.5943989999987,-20.0,-4.0,301.1677189999991,517.5819569999985,515.0990339999989,1570.8386025138243,260.5943989999987,43.38733000000093,0.0,0.0,-2.8140100000005077,loss,win
development32,8,dbffc63cf21917e83970deb9b6c27498dd21096e5a583cd967239f636083b2b0,,8,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-56.07631656249998,-897.2210649999997,26.956559999999627,1.6847849999999767,49,50,54,-854.1729099999993,270.0,55.0,-897.2210649999997,-724.7919439999996,-781.1880540000002,-5961.105338245732,-529.1729099999993,-412.38309200000003,0.0,0.0,44.33493699999963,win,loss
development32,8,dbffc63cf21917e83970deb9b6c27498dd21096e5a583cd967239f636083b2b0,,8,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-27.765260812499946,-444.24417299999914,-2316.8801649999996,-144.80501031249997,-79,-81,-76,79.21277400000145,-380.0,-78.0,-444.24417299999914,1676.4528850000015,-103.08145399999921,158.77915212218068,-378.78722599999764,-345.05679300000065,0.0,0.0,279.59984599999916,win,win
development32,9,14a385fd6709226de87c7e3ccf7aac50a08b1840111640ca88e91dd3fff2c2c5,,9,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-21.02072436363642,-231.22796799999924,-3785.9766690000006,-344.1796971818182,-35,-34,-35,-539.4049870000008,-175.0,-35.0,-231.22796799999924,2661.6429899999994,-837.4292079999996,-111.13983826167532,-749.4049869999999,174.4960380000017,247.71476799999982,0.0,95.96621300000038,win,win
development32,9,14a385fd6709226de87c7e3ccf7aac50a08b1840111640ca88e91dd3fff2c2c5,,9,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-66.04613827272738,-726.5075210000014,4074.4342669999996,370.4031151818181,-46,-49,-49,128.91061100000024,-245.0,-49.0,-726.5075210000014,-3841.492545,1019.4298029999991,-2237.5375974127965,-165.08938900000066,-189.28495100000055,-247.71476800000028,0.0,-124.41841300000101,win,loss
development32,10,df6cfd601654ba60d68f904509a106489d707d08318e1c1bb93e1fdc78510ac8,,10,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-90.88963926666668,-1363.3445890000003,-3.218308000000434,-0.21455386666673348,-106,-100,-100,-642.8986770000029,-500.0,-100.0,-1363.3445890000003,-918.9262110000018,795.0730869999998,-3666.7229483599076,-1242.8986770000038,81.22525100000212,-251.81229600000006,0.0,50.141133000000764,win,win
development32,10,df6cfd601654ba60d68f904509a106489d707d08318e1c1bb93e1fdc78510ac8,,10,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,11,78ae4d1bfb85662e415a0cdb51e716d0083c46ee4e8dc93a4958fc2ef1501088,,11,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-0.5537607333333199,-8.30641099999957,549.2202290000005,36.614681933333316,-62,-65,-63,50.46044399999937,-315.0,-66.0,-270.66621900000064,-763.7629080000006,-1035.6952060000003,1833.467957961453,-330.53955600000154,169.66767900000082,0.0,0.0,152.5654660000003,win,loss
development32,11,78ae4d1bfb85662e415a0cdb51e716d0083c46ee4e8dc93a4958fc2ef1501088,,11,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-46.17132979999997,-692.569947,-2617.452411,-174.49682739999997,-35,-37,-38,-32.733502999998564,-190.0,-37.0,-430.2101389999989,2187.2422720000013,4206.863296,-2402.8497446982583,-259.73350299999765,-380.4074580000015,132.6617040000001,0.0,-185.0906899999996,win,win
development32,12,76b789d73e20933f02bd406ee43ff7bfd2d27645bd0db0a9e83c2b6a178775db,,12,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-36.995691076923094,-480.94398399999955,-3568.44764,-274.49597230769234,-23,-16,-15,-149.83361799999784,-75.0,-13.0,-480.94398399999955,2997.0683350000018,962.9898990000002,-1749.7199338917853,-237.83361799999875,-428.6051279999981,0.0,0.0,185.49476199999674,win,win
development32,12,76b789d73e20933f02bd406ee43ff7bfd2d27645bd0db0a9e83c2b6a178775db,,12,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,13,a0b5ee5044671add852185fe7c1d15a75248eee8dbaf1ab6dff5d065e59ae10e,,13,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-103.42575266666654,-1551.3862899999986,-1977.2524720000001,-131.81683146666666,21,33,28,-1382.1408309999988,140.0,34.0,-1551.3862899999986,460.8340190000017,393.27771400000165,-8446.931472357195,-1208.140830999998,-10.708167000001367,-585.9454979999994,0.0,253.40820600000114,win,win
development32,13,a0b5ee5044671add852185fe7c1d15a75248eee8dbaf1ab6dff5d065e59ae10e,,13,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,14,7d176e34dcc428a51fd1d329865b0c30838b7c16b2e277f85626e633b8b0fbb2,,14,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-107.34025199999996,-1717.4440319999994,-4078.253841999999,-254.89086512499995,-76,-74,-70,-872.8403549999985,-350.0,-68.0,-1717.4440319999994,2207.7597030000006,-1929.1877719999993,-6317.220178568976,-1290.8403549999985,-568.2815580000042,-75.22482199999968,0.0,216.90270300000213,win,win
development32,14,7d176e34dcc428a51fd1d329865b0c30838b7c16b2e277f85626e633b8b0fbb2,,14,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-30.550015937500007,-488.8002550000001,193.62358700000004,12.101474187500003,-36,-37,-37,29.110045000000355,-185.0,-38.0,-488.8002550000001,-499.0458259999996,3539.361645,-1359.0012760885438,-193.88995499999965,-211.93529399999977,-182.888469,0.0,99.91346299999987,win,loss
development32,15,1387c5a520453eb64460a615f31f3dd9152c066af32bb30b21b070bcf9157e48,,15,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-62.55589190909086,-688.1148109999995,-2870.1232769999997,-260.9202979090909,19,21,20,-824.6342210000003,100.0,21.0,-688.1148109999995,1658.1086209999994,-3541.58309,-4020.574033505887,-703.6342210000003,76.6227759999997,-68.81944099999964,0.0,7.716075000000501,win,win
development32,15,1387c5a520453eb64460a615f31f3dd9152c066af32bb30b21b070bcf9157e48,,15,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,3.0036739999999327,33.040413999999146,5826.650652,529.6955138181818,2,3,6,27.025844000001598,30.0,5.0,33.040413999999146,-5253.6917109999995,0.0,100.20206363042234,62.0258440000016,20.69086299999958,-134.03424200000063,0.0,84.35794899999877,loss,loss
development32,16,653d71e1eb6b93d3610e8ab858c10606ea8fd30d3406834639ef3cc48fa488ed,,16,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-72.19798753333339,-1082.9698130000015,-1491.268927,-99.4179284666667,11,14,13,-1033.6174189999992,65.0,14.0,-1082.9698130000015,273.82673800000066,-285.49818100000084,-5759.849057266227,-954.6174190000002,-545.7248999999999,289.20966200000066,0.0,128.16284399999734,win,win
development32,16,653d71e1eb6b93d3610e8ab858c10606ea8fd30d3406834639ef3cc48fa488ed,,16,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,17,1e9706a76d79f7ee721b879f77643f6054e3b426137388bdb88c114cd01336f9,,17,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-126.07958109090919,-1386.875392,-3653.8657430000003,-332.169613,-24,-20,-17,-1006.8835829999989,-85.0,-16.0,-1386.875392,2017.078958,3129.3893199999993,-6234.376955551626,-1107.8835830000007,-422.4003770000011,-52.462878000000046,0.0,195.871446,win,win
development32,17,1e9706a76d79f7ee721b879f77643f6054e3b426137388bdb88c114cd01336f9,,17,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,18,8c7ed04da7928c52232b0ea43aaef627d8b74aa1e3aa31680e8f5a9cdf71e5a6,,18,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-56.68269292857144,-793.5577009999997,-3102.147851999999,-221.58198942857132,-29,-25,-30,-630.6394799999998,-150.0,-26.0,-793.5577009999997,1977.623399,1022.5524269999996,-3117.788484917939,-806.639479999998,-288.56152200000156,0.0,0.0,301.64330100000177,win,win
development32,18,8c7ed04da7928c52232b0ea43aaef627d8b74aa1e3aa31680e8f5a9cdf71e5a6,,18,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,33.350393071428584,466.90550299999995,-1909.0861010000003,-136.36329292857147,3,-1,1,492.6977480000014,5.0,-1.0,466.90550299999995,2348.7062140000007,-517.1547029999992,2264.527504532809,496.6977480000023,-201.82887600000026,349.21700499999974,0.0,-177.18037400000094,loss,win
development32,19,d3075f4a738903b8412327260a77c43a180fcb47cc435707cd2fe6da58539187,,19,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-40.56899618181831,-446.25895800000035,-2665.5317970000006,-242.3210724545454,-35,-34,-34,-441.64387700000134,-170.0,-34.0,-446.25895800000035,2153.3865209999994,1037.4452859999983,-1186.2948045310986,-645.6438770000004,84.85725900000102,0.0,0.0,114.52766000000042,win,win
development32,19,d3075f4a738903b8412327260a77c43a180fcb47cc435707cd2fe6da58539187,,19,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,3.7255729090909426,40.98130200000014,-1760.7334499999997,-160.0666772727273,-21,-20,-20,371.4693120000011,-100.0,-20.0,40.98130200000014,1715.9202480000004,-653.257415,829.9065216917443,251.46931200000108,-276.55787200000077,0.0,0.0,66.0698619999996,loss,win
development32,20,48aca15a9e5830548271527400af48318d618e6533a952df67c61cf96da2b7c7,,20,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-73.24324084615387,-952.162131000001,-2831.932833,-217.84098715384613,31,32,34,-938.4170310000018,170.0,34.0,-952.162131000001,1721.9246329999978,-156.31421300000147,-5695.810649825922,-734.4170310000009,-652.3956859999987,306.0711019999994,0.0,128.57948399999998,win,win
development32,20,48aca15a9e5830548271527400af48318d618e6533a952df67c61cf96da2b7c7,,20,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-8.126275538461641,-105.6415820000002,0.0,0.0,-9,-9,-9,-49.50420800000029,-45.0,-9.0,-105.6415820000002,-103.50420800000029,724.0,-258.20791017593,-103.50420800000211,-2.915917000000263,0.0,0.0,0.7785430000003544,win,tie
development32,21,c691bcf6b75ca3682c374c52755c04a30435683e149803749b431b36d353f2f2,,21,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-180.81908190000013,-1808.1908190000013,-3116.263825,-311.62638250000003,20,24,27,-1054.049333,135.0,28.0,-1808.1908190000013,1271.993364,863.9772669999993,-9615.954103210723,-891.0493330000008,-524.2234059999995,-352.1443039999999,-108.25074600000016,67.47696999999846,win,win
development32,21,c691bcf6b75ca3682c374c52755c04a30435683e149803749b431b36d353f2f2,,21,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,22,dafbb36f1d72bafed101f9d1027c8a5a85ef90c593d75da1d0b2d81241ccf75f,,22,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-136.71375731249998,-2187.4201169999997,-4501.070030999999,-281.31687693749996,-84,-77,-76,-762.5296879999969,-380.0,-74.0,-2187.4201169999997,2189.2730500000016,2185.0097030000015,-8452.100570788338,-1216.5296879999978,-219.14571400000113,-941.242605000001,0.0,189.49788999999896,win,win
development32,22,dafbb36f1d72bafed101f9d1027c8a5a85ef90c593d75da1d0b2d81241ccf75f,,22,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,23,76a810047f3dcd41d0180ee46c661d54fcf8de7995f11e6d1f88eedd251bc4b0,,23,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-79.76467233333346,-1196.4700850000008,-3113.1824429999997,-207.5454962,6,15,17,-751.8285669999996,85.0,18.0,-1196.4700850000008,1849.0287450000005,1352.9306979999992,-6207.350411862601,-648.8285669999977,-442.7994820000006,-483.78734899999995,0.0,378.94531299999903,win,win
development32,23,76a810047f3dcd41d0180ee46c661d54fcf8de7995f11e6d1f88eedd251bc4b0,,23,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,1.1234428000001344,16.851642000001448,-65.37414799999988,-4.358276533333367,-22,-22,-24,366.93692199999987,-120.0,-24.0,16.851642000001448,44.68131500000072,1654.6290770000014,744.2581958402734,222.93692199999805,-140.01760599999807,45.76105600000028,0.0,-111.82873000000018,loss,win
development32,24,3b975179072f6c380c028aad9b340963110dde4154ef0b08ae6948c93f5e0733,,24,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-45.71686984615383,-594.3193080000001,-1240.4568049999998,-95.41975423076917,-72,-77,-76,-249.1226179999985,-380.0,-76.0,-594.3193080000001,892.1153460000005,2218.3879469999993,-786.5965330609033,-705.1226179999994,-45.47124800000438,98.30615099999977,0.0,57.96840700000348,win,win
development32,24,3b975179072f6c380c028aad9b340963110dde4154ef0b08ae6948c93f5e0733,,24,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-31.35293376923073,-407.5881389999995,-2057.988271,-158.3067900769231,-54,-48,-49,26.84670399999868,-245.0,-49.0,-407.5881389999995,1460.471208,940.1885060000004,-447.94069877154834,-267.1532960000004,-78.56033399999751,-98.30615099999977,0.0,36.43164199999865,win,win
development32,25,75ba0ebfb7f80f3ed2fb1c48b6d259d2b093e7cb1daa6521e01ab1ce19e01814,,25,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-16.887599333333355,-253.31399000000056,-852.7684369999997,-56.85122913333328,-49,-47,-49,-304.6686810000001,-245.0,-47.0,-253.31399000000056,578.3665439999995,396.8569230000003,193.4300480613456,-596.6686809999992,-136.65646400000014,399.48661600000014,0.0,80.52453899999932,win,win
development32,25,75ba0ebfb7f80f3ed2fb1c48b6d259d2b093e7cb1daa6521e01ab1ce19e01814,,25,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,26,a71ab15b656c3e7180b08af9dc02827eeb31c2cd42a4cd9386b8cd8616ab66cd,,26,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-59.99656216666665,-719.9587460000002,-1633.8260719999998,-136.15217266666673,-45,-44,-46,-281.11666700000023,-230.0,-46.0,-719.9587460000002,626.6921849999999,224.68770399999994,-2254.7937111996,-557.1166670000002,-350.7741270000022,274.8592489999992,0.0,-86.92720099999724,win,win
development32,26,a71ab15b656c3e7180b08af9dc02827eeb31c2cd42a4cd9386b8cd8616ab66cd,,26,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-58.36590158333331,-700.3908190000002,-3962.549932,-330.21249433333327,-92,-94,-92,5.739780000002611,-460.0,-93.0,-700.3908190000002,3344.141058000001,3517.1852290000006,-731.954091287138,-547.2602199999983,-1.2528379999994286,-274.8592489999992,0.0,122.98148799999626,win,win
development32,27,5ba33e65c16793243d5e6e12408c373b9089c336cc66326e74aa3b9d891a1bf7,,27,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-106.36724492857138,-1489.1414289999993,-3634.3187369999996,-259.5941955,-60,-58,-58,-560.6292989999993,-290.0,-56.0,-1489.1414289999993,2114.577507000001,1971.6719220000014,-5655.707126047266,-906.6292990000002,-817.819142000002,25.226707000000033,0.0,210.08030500000166,win,win
development32,27,5ba33e65c16793243d5e6e12408c373b9089c336cc66326e74aa3b9d891a1bf7,,27,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-22.356626071428423,-312.99276499999905,-465.3148680000004,-33.23677628571431,-18,-18,-18,-204.99276499999905,-90.0,-18.0,-312.99276499999905,152.32210300000042,152.32210300000042,-1024.963826228428,-312.99276499999814,2.2737367544323206e-13,0.0,0.0,0.0,win,win
development32,28,571288766d793acb086b156a38b622523ff322635b667be200a48e98ccdb90d5,,28,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-68.70686650000016,-687.0686650000007,0.0,0.0,23,27,24,-538.9230559999996,120.0,27.0,-687.0686650000007,-391.92305599999963,-1336.9269600000007,-4145.343316434359,-391.92305599999963,-238.2366649999998,0.0,0.0,-56.90894400000036,win,tie
development32,28,571288766d793acb086b156a38b622523ff322635b667be200a48e98ccdb90d5,,28,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
development32,29,f15c1c5ecbc1d9581ea82d0aa4f2ac301575eb60b674d00ae3465866a5bd2719,,29,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-52.82609587500008,-845.2175340000013,-798.0917229999995,-49.88073268749997,8,11,16,-648.1258600000028,80.0,17.0,-845.2175340000013,-35.806664000003366,-931.9659950000023,-4481.087654335373,-551.1258600000037,-685.7746890000016,0.0,0.0,391.68301500000325,win,win
development32,29,f15c1c5ecbc1d9581ea82d0aa4f2ac301575eb60b674d00ae3465866a5bd2719,,29,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-17.626211499999954,-282.01938399999926,-3329.120979,-208.0700611875,-88,-88,-91,127.94920900000216,-455.0,-90.0,-282.01938399999926,3076.4828670000015,2199.890555000001,1229.9030721180097,-417.05079099999875,417.2584700000001,0.0,0.0,-282.2270630000007,win,win
development32,30,3deda7e2d5089a86eb49bf5547a0c754678f1bfdf521c1ccd8906966cc6558cf,,30,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-132.1141074000002,-1321.141074000001,-595.3273859999999,-59.532738600000016,-38,-36,-39,-1023.3349270000008,-195.0,-36.0,-1321.141074000001,-786.8772080000017,-918.3455510000013,-5475.705365077381,-1254.3349269999999,154.26611099999764,-163.61456700000053,0.0,-57.45769099999745,win,win
development32,30,3deda7e2d5089a86eb49bf5547a0c754678f1bfdf521c1ccd8906966cc6558cf,,30,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-31.22677849999991,-312.267785,-4756.221172,-475.62211720000005,-61,-58,-59,-47.44864000000052,-295.0,-58.0,-312.267785,4328.177843,-327.87651300000016,253.6610713889604,-400.4486399999987,98.45193800000004,0.0,0.0,-10.271082999999408,win,win
development32,31,d9055d6e64e50c94087585e362214d1cf66267e4bf1a17dfb3a4a6a9c05c6385,,31,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-81.70822516666658,-980.498701999999,-1244.230995,-103.68591624999999,6,16,12,-767.6099989999984,60.0,15.0,-980.498701999999,219.69218900000124,-1855.467811999999,-5132.493512170557,-692.6099989999984,-519.4114010000011,0.0,0.0,231.5226980000008,win,win
development32,31,d9055d6e64e50c94087585e362214d1cf66267e4bf1a17dfb3a4a6a9c05c6385,,31,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,2.506889499999943,30.082673999999315,1968.3531560000001,164.02942966666672,16,15,15,8.2267980000006,75.0,15.0,30.082673999999315,-1740.895535999999,317.81765500000074,-324.5866319927227,98.22679799999969,24.395809999999415,0.0,0.0,-92.53993400000127,loss,loss
