time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
0.000000000000000000e+00,2.000000000000000042e-02,2.549999999999999378e+00,1.000000000000000000e+00,-1.741526313137500678e-16
6.000000000000000000e+01,1.994987326860841667e-02,2.539185621505186674e+00,9.972356158729951403e-01,1.052426193837340733e-04
1.200000000000000000e+02,1.990016802588997005e-02,2.529600985859638662e+00,9.943653646551622316e-01,1.207113973871563336e-04
1.800000000000000000e+02,1.985089669902912607e-02,2.520647157295998753e+00,9.914564184574513606e-01,1.270373858725297944e-04
2.400000000000000000e+02,1.980207171521035717e-02,2.512140820885058634e+00,9.885317966204524298e-01,1.307192567002631847e-04
3.000000000000000000e+02,1.975370550161812191e-02,2.503984517578992985e+00,9.856032640941364553e-01,1.333496372384819527e-04
3.600000000000000000e+02,1.970581048543689276e-02,2.496113473455468856e+00,9.826789722568696206e-01,1.351802166290888433e-04
4.200000000000000000e+02,1.965839909385113174e-02,2.488483291786129925e+00,9.797656430775364411e-01,1.366301184075695003e-04
4.800000000000000000e+02,1.961148375404530783e-02,2.481060992640054419e+00,9.768685001267121137e-01,1.377325534262954343e-04
5.400000000000000000e+02,1.956507689320388307e-02,2.473821633658777941e+00,9.739917447616930346e-01,1.387381008754908884e-04
6.000000000000000000e+02,1.951919093851132644e-02,2.466743770918945255e+00,9.711387189212395965e-01,1.395544056864270644e-04
6.600000000000000000e+02,1.947383831715210345e-02,2.459809361121778615e+00,9.683129981896010374e-01,1.403036119113076907e-04
7.200000000000000000e+02,1.942903145631067960e-02,2.453002904045495036e+00,9.655177880238615673e-01,1.408603943881961223e-04
7.800000000000000000e+02,1.938478278317152387e-02,2.446312743329973838e+00,9.627562127449810214e-01,1.413921867034342926e-04
8.400000000000000000e+02,1.934110472491909483e-02,2.439728789467668690e+00,9.600306834100860165e-01,1.418236274418093791e-04
9.000000000000000000e+02,1.929800970873786492e-02,2.433242629394443135e+00,9.573440106108384029e-01,1.422512174730347829e-04
9.600000000000000000e+02,1.925551016181229619e-02,2.426845656691990705e+00,9.546983795300796327e-01,1.426568698980297057e-04
1.020000000000000000e+03,1.921361851132686108e-02,2.420530363668914386e+00,9.520959955977247313e-01,1.429173562789154417e-04
1.080000000000000000e+03,1.917234718446601816e-02,2.414291925040538800e+00,9.495386291963370251e-01,1.433210280557049951e-04
1.140000000000000000e+03,1.913170860841423987e-02,2.408123047013613682e+00,9.470280027344146756e-01,1.435562010099636170e-04
1.200000000000000000e+03,1.909171521035598826e-02,2.402019071238820302e+00,9.445666382795973037e-01,1.438318182378713105e-04
1.260000000000000000e+03,1.905237941747572883e-02,2.395975478396779934e+00,9.421566123517691738e-01,1.440208669914945408e-04
1.320000000000000000e+03,1.901371365695792709e-02,2.389988182224224822e+00,9.397998750831615400e-01,1.442676504330632915e-04
1.380000000000000000e+03,1.897573035598705202e-02,2.384053706307624587e+00,9.374971303854281457e-01,1.444795101052218805e-04
1.440000000000000000e+03,1.893844194174757259e-02,2.378168037652925726e+00,9.352511342942859685e-01,1.446396194439937208e-04
1.500000000000000000e+03,1.890186084142394737e-02,2.372328418659254368e+00,9.330640634730235083e-01,1.447364422420299344e-04
1.560000000000000000e+03,1.886599948220064882e-02,2.366533627275432039e+00,9.309372902864585519e-01,1.449308871867941730e-04
1.620000000000000000e+03,1.883087029126213549e-02,2.360780698892569696e+00,9.288719914248368958e-01,1.450339315874861132e-04
1.680000000000000000e+03,1.879648569579287984e-02,2.355067929310317609e+00,9.268701009294147974e-01,1.451810634409406294e-04
1.740000000000000000e+03,1.876285812297734737e-02,2.349392893328337450e+00,9.249323231732404782e-01,1.453485447944540476e-04
1.800000000000000000e+03,1.873000000000000012e-02,2.343752736084115273e+00,9.230599741284196691e-01,1.454610254413857284e-04
1.860000000000000000e+03,1.869799288355860137e-02,2.338145278416688733e+00,9.212618228461011416e-01,1.455752141283122236e-04
1.920000000000000000e+03,1.866687451335744680e-02,2.332569354046201138e+00,9.195422238342845223e-01,1.456111439006830622e-04
1.980000000000000000e+03,1.863659159109080574e-02,2.327024960591979053e+00,9.178966886409327675e-01,1.457402530762667815e-04
2.040000000000000000e+03,1.860709081845294405e-02,2.321509979607463414e+00,9.163196915441541579e-01,1.458393346988791914e-04
2.100000000000000000e+03,1.857831889713814494e-02,2.316022882644519054e+00,9.148063435284486955e-01,1.458841608884803688e-04
2.160000000000000000e+03,1.855022252884066039e-02,2.310563472980309285e+00,9.133517138565623306e-01,1.459522898288127791e-04
2.220000000000000000e+03,1.852274841525477361e-02,2.305131014930270172e+00,9.119501079348601991e-01,1.460754196206219004e-04
2.280000000000000000e+03,1.849584325807475393e-02,2.299723740021339502e+00,9.105964880407591000e-01,1.461682034394525540e-04
2.340000000000000000e+03,1.846945375899486028e-02,2.294339672549174924e+00,9.092865824064649827e-01,1.462714060487432224e-04
2.400000000000000000e+03,1.844352661970937585e-02,2.288977646712861080e+00,9.080148428196229693e-01,1.462695629463840394e-04
2.460000000000000000e+03,1.841800854191255957e-02,2.283637962128515220e+00,9.067761903627776787e-01,1.463730573427267205e-04
2.520000000000000000e+03,1.839284622729868771e-02,2.278319014476135163e+00,9.055653537301271427e-01,1.464069494729837093e-04
2.580000000000000000e+03,1.836798637756202959e-02,2.273020714091511074e+00,9.043778935752621040e-01,1.464413836697412981e-04
2.640000000000000000e+03,1.834337569439685109e-02,2.267742793017447411e+00,9.032087525811335338e-01,1.465679274974453640e-04
2.700000000000000000e+03,1.831896087949743193e-02,2.262483021700732344e+00,9.020522950415332808e-01,1.466012476877559404e-04
2.760000000000000000e+03,1.829468863455803451e-02,2.257241372490254250e+00,9.009040049496866986e-01,1.465968573307237786e-04
2.820000000000000000e+03,1.827050566127292122e-02,2.252018730544957048e+00,8.997589477127369006e-01,1.466773164351790090e-04
2.880000000000000000e+03,1.824635866133637874e-02,2.246813548043826714e+00,8.986117665293351653e-01,1.467575057965610382e-04
2.940000000000000000e+03,1.822219433644266945e-02,2.241625550654122723e+00,8.974568898921266857e-01,1.468052756096117808e-04
3.000000000000000000e+03,1.819795938828605922e-02,2.236454305027049116e+00,8.962902704072884807e-01,1.468532048971658691e-04
3.060000000000000000e+03,1.817360051856082431e-02,2.231299748354682588e+00,8.951060583088789047e-01,1.469030131208986947e-04
3.120000000000000000e+03,1.814906442896123059e-02,2.226160999464811496e+00,8.938989805357020479e-01,1.470072654361759658e-04
3.180000000000000000e+03,1.812429782118154739e-02,2.221036166320672578e+00,8.926632397199258939e-01,1.469768904670782717e-04
3.240000000000000000e+03,1.809924739691605097e-02,2.215925927774039295e+00,8.913941265496557742e-01,1.470263598089691028e-04
3.300000000000000000e+03,1.807385985785900026e-02,2.210828962486993010e+00,8.900868595100733804e-01,1.470817657209843373e-04
3.360000000000000000e+03,1.804808190570467499e-02,2.205744574514328704e+00,8.887366895941305467e-01,1.470890726941807673e-04
3.420000000000000000e+03,1.802186024214734797e-02,2.200672774899638195e+00,8.873387628717369635e-01,1.471429324403209274e-04
3.480000000000000000e+03,1.799514156888127464e-02,2.195613137340374443e+00,8.858878032470877129e-01,1.471369112137752466e-04
3.540000000000000000e+03,1.796787258760073822e-02,2.190566137655864054e+00,8.843789390008954809e-01,1.472191794591503407e-04
3.600000000000000000e+03,1.794000000000000108e-02,2.185530341894667217e+00,8.828066562018070940e-01,1.472991897530525859e-04
3.660000000000000000e+03,1.791159229193899777e-02,2.180504733909549131e+00,8.811772817421554826e-01,1.472718217434728619e-04
3.720000000000000000e+03,1.788277336819172475e-02,2.175489940582735926e+00,8.795034754632059526e-01,1.473077700917361523e-04
3.780000000000000000e+03,1.785357305882353043e-02,2.170485314427532675e+00,8.777880660877241947e-01,1.473889351850752997e-04
3.840000000000000000e+03,1.782402119389978404e-02,2.165489593080060171e+00,8.760345018649096094e-01,1.473941733425429752e-04
3.900000000000000000e+03,1.779414760348584090e-02,2.160502360185851956e+00,8.742463590333343637e-01,1.473877294850692104e-04
3.960000000000000000e+03,1.776398211764706331e-02,2.155524403136952927e+00,8.724262424359000567e-01,1.474489389447704334e-04
4.020000000000000000e+03,1.773355456644879966e-02,2.150554903761690895e+00,8.705775719163263426e-01,1.474462460435960577e-04
4.080000000000000000e+03,1.770289477995642610e-02,2.145593750374817255e+00,8.687038469816045216e-01,1.474256441910192048e-04
